Runner Episode: 1	Loss: 3.797136	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.797677	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.883260	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.791783	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.900913	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.798589	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.859055	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.909409	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.729427	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.918972	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.861410	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.883879	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.855068	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.975553	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.935510	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.844995	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.873390	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.908720	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.960579	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.936719	Accuracy: 0.200 	 Current Training Data Per Class: 0
