Runner Episode: 1	Loss: 3.917776	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.806255	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.874609	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.931022	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.808953	Accuracy: 0.140 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.855033	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.844408	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.758935	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.864611	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.805152	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.788362	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.901761	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.850169	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.754288	Accuracy: 0.150 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.828088	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.854699	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.766915	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.914748	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.815312	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.768307	Accuracy: 0.150 	 Current Training Data Per Class: 0
