Runner Episode: 1	Loss: 3.770410	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.881299	Accuracy: 0.008 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.808268	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.913083	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.829945	Accuracy: 0.032 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.862438	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 4.015103	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.842705	Accuracy: 0.032 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.902568	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.842141	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.712702	Accuracy: 0.184 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.822716	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.854210	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.878475	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.918508	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.937269	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.808844	Accuracy: 0.076 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.905418	Accuracy: 0.004 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.840590	Accuracy: 0.108 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.908441	Accuracy: 0.000 	 Current Training Data Per Class: 0
