Train Episode: 1	Loss: 1.351673	Accuracy: 0.410	 Current training data per class: 60
Train Episode: 2	Loss: 1.658308	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 3	Loss: 1.628670	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 4	Loss: 1.751162	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 5	Loss: 1.631979	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 6	Loss: 1.717843	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 7	Loss: 1.686928	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 8	Loss: 1.622536	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 9	Loss: 1.778398	Accuracy: 0.300	 Current training data per class: 60
Train Episode: 10	Loss: 1.622881	Accuracy: 0.330	 Current training data per class: 60
Train Episode: 11	Loss: 1.767185	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 12	Loss: 1.566234	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 13	Loss: 1.868193	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 14	Loss: 2.410056	Accuracy: 0.380	 Current training data per class: 60
Train Episode: 15	Loss: 1.560989	Accuracy: 0.360	 Current training data per class: 60
Train Episode: 16	Loss: 2.018508	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 17	Loss: 2.379872	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 18	Loss: 1.948531	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 19	Loss: 1.893913	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 20	Loss: 1.703010	Accuracy: 0.200	 Current training data per class: 60
