Train Episode: 1	Loss: 1.294799	Accuracy: 0.530	 Current training data: 40
Train Episode: 2	Loss: 1.381242	Accuracy: 0.340	 Current training data: 40
Train Episode: 3	Loss: 1.558557	Accuracy: 0.320	 Current training data: 40
Train Episode: 4	Loss: 1.939326	Accuracy: 0.280	 Current training data: 40
Train Episode: 5	Loss: 1.993391	Accuracy: 0.200	 Current training data: 40
Train Episode: 6	Loss: 1.369121	Accuracy: 0.300	 Current training data: 40
Train Episode: 7	Loss: 1.142795	Accuracy: 0.550	 Current training data: 40
Train Episode: 8	Loss: 1.361503	Accuracy: 0.410	 Current training data: 40
Train Episode: 9	Loss: 1.653894	Accuracy: 0.370	 Current training data: 40
Train Episode: 10	Loss: 1.517549	Accuracy: 0.400	 Current training data: 40
Train Episode: 11	Loss: 1.413906	Accuracy: 0.380	 Current training data: 40
Train Episode: 12	Loss: 1.655777	Accuracy: 0.200	 Current training data: 40
Train Episode: 13	Loss: 1.465376	Accuracy: 0.360	 Current training data: 40
Train Episode: 14	Loss: 1.297786	Accuracy: 0.450	 Current training data: 40
Train Episode: 15	Loss: 1.477983	Accuracy: 0.250	 Current training data: 40
Train Episode: 16	Loss: 1.503651	Accuracy: 0.300	 Current training data: 40
Train Episode: 17	Loss: 1.118375	Accuracy: 0.640	 Current training data: 40
Train Episode: 18	Loss: 1.816750	Accuracy: 0.210	 Current training data: 40
Train Episode: 19	Loss: 1.524313	Accuracy: 0.330	 Current training data: 40
Train Episode: 20	Loss: 1.504079	Accuracy: 0.340	 Current training data: 40
