Train Episode: 1	Loss: 9201783821828096.000000	Accuracy: 0.400	 Current training data per class: 190
Train Episode: 2	Loss: 538871237110172128509561761955840.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 3	Loss: 18842059276288.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 4	Loss: 60593289560064.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 5	Loss: nan	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 6	Loss: 12188.872070	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 7	Loss: 20985969377280.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 8	Loss: 53992.355469	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 9	Loss: nan	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 10	Loss: nan	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 11	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 12	Loss: 512301135005764026368.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 13	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 14	Loss: nan	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 15	Loss: 1790541.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 16	Loss: 8838087601815552.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 17	Loss: 189455936.000000	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 18	Loss: 17466.589844	Accuracy: 0.200	 Current training data per class: 190
Train Episode: 19	Loss: nan	Accuracy: 0.000	 Current training data per class: 190
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 190
